Page,No,Lat_deg,Long_deg,Date_UT,Age_hrs,Lag_min,ARCV_deg,ARCL_deg,DAZ_deg,W_arcmin,V_I,raw_ocr_line
13,026,27.52,41.70,2000/12/26,21.08,40,07.70,08.86,04.40,0.19,6V(T),026 27°52 41°70 2000/12/26 21°08 40 07°70 08°86 04°40 o19 6V(T)
13,085,27.52,41.70,2009/01/27,30.92,64,13.35,13.55,02.32,0.44,V(N),085 27°52 41°70 2009/01/27 30°92 64 13°35 13°55 02°32 0-44 V(N)
13,096,26.35,43.95,2009/10/19,33.00,35,06.99,17.47,16.05,0.77.,V(T),096 26:35 43°95 2009/10/19 33°00 35 06°99 17°47 16:05 0-77. =~V(T)
13,099,25.62,45.62,2009/11/18,42.90,70,12.92,20.51,16.07,ror,VC(N),099 25°62 45°62 2009/11/18 42°90 70 12°92 20°51 16°07 ror VC(N)
13,100,25.62,45.62,2009/12/17,26.13,48,09.08,11.50,07.07,0.32,6.V(N),100 25°62 45°62 2009/12/17 26°13 48 09°08 II°50 07°07 0°32 ~=6°V(N)
13,102,28.39,636.73--,2010/04/15,27.49,65,13.20,13.51,02.85,0.44,V(N),"102 28°39 §=636°73,-- 2010/04/15 27°49 65 13:20 13'51 02°85 0-44 V(N)"
13,104,24.54,39.63,2010/06/13,28.94,68,13.87,15.22,06.34,0.56,69.V(N),104 24°54 39°63 2010/06/13 28:94 68 13°87 15°22 06°34 0°56 ~=69°V(N)
13,122,25.62,45.62,2010/12/06,20.93,40,07.87,10.95,06.49,0.25,xV(T),122 25°62 45°62 2010/12/06 20°93 40 07°87 10°95 06°49 0-25 xV(T)
13,127,24.39,39.63,2011/04/04,25.00,50,10.70,11.42,04.04,0.31,V(N),127 24°39 39°63 2011/04/04 25:00 50 10:70 II°42 04:04 o-31 V(N)
13,137,24.60,46.45,2011/09/28,27.60,32,06.98,16.55,15.04,0.66,V(T),137 24°60 46°45 2011/09/28 27°60 32 06:98 16°55 15°04 0°66 V(T)
