Page,Lat_deg,Long_deg,Date_UT,Age_hrs,Lag_min,ARCV_deg,ARCL_deg,DAZ_deg,raw_ocr_line
9,23.56,46.39,1988/03/18,13.04,30,06.70,06.71,00.35,23°56 46°39 1988/03/18 13°04 30 06°70 06°71 00°35
9,19.15,42.22,1988/04/16,03.49,04,01.01,03.28,03.12,19°15 42°22 1988/04/16 03°49 O4 OI-O1 03°28 03°12
9,23.56,46.39,1988/04/16,03.27,005,01.14,03.17,02.96,23°56 46°39 1988/04/16 03°27 O05 OI-14 03°17 02°96
9,28.40,36.73,1990/02/25,06.60,14,03.01,03.45,01.69,28°40 36°73 1990/02/25 06°60 14 03°01 03°45 O1:69
9,28.40,36.73,1990/04/25,11.61,34,06.83.,07.77,03.73,28°40 36°73 1990/04/25 II-61 34 06°83. 07°77 03°73
9,26.45,36.38,1991/05/14,11.63,33,06.64,06.99,02.20,26°45 36°38 1991/05/14 11°63 33 06°64 06°99 02°20
9,28.40,36.73,1992/06/01,04.13,30,05.95,06.18,01.71,28°40 36°73 1992/06/OI 04°13 30 05°95 06°18 OI-71
9,21.42,39.83,1993/12/13,05.22,12,02.59,02.63,00.45,21°42 39°83 1993/12/13 05°22 12 02°59 02°63 00°45
9,28.40,36.73,1993/02/21,02.38,04,00.87,04.71,04.63,28°40 36°73 1993/02/21 02°38 04 00°87 04°71 04°63
10,21.42,39.83,1993/12/13,05.22,12,02.59,02.63,00.45,21°42 39°83 1993/12/13 05°22 12 02°59 02°63 00°45
10,28.40,36.73,1993/02/21,02.38,04,00.87,04.71,04.63,28-40 36°73 1993/02/21 02°38 04 00°87 04°71 04°63
10,21.42,39.83,1993/12/13,05.22,12,02.59,02.63,00.45,21°42 39°83 1993/12/13 05°22 12 02°59 02°63 00°45
10,24.60,46.45,1998/10/20,04.23,16,03.60,03.95,011.62,24:60 46°45 1998/10/20 04°23 16 03°60 03°95 O1I°62
10,26.35,43.95,1999/10/09,03.14,16,03.66,04.13,01.90,26°35 43°95 1999/10/09 03°14 16 03°66 04°13 O1°90
10,24.60,46.45,2000/03/06,20.79,18,03.92,05.62,04.03,24°60 46°45 2000/03/06 20°79 18 03°92 05°62 04°03
10,21.42,39.83,2000/09/27,19.32,03,00.71,01.86,01.72,21°42 39°83 2000/09/27 19°32 03 00:71 01°86 O1'72
10,28.40,36.73,2001/02/23,07.13,09,01.88,04.88,04.50,28:40 36°73 2001/02/23 07°13 O9 01°88 04°88 04°50
10,21.42,39.83,2001/06/21,04.13,005,01.15,01-.71,011.26,21°42 39°83 2001/06/21 04°13 O05 OI‘15 OI-°71 O1I°26
10,24.60,46.45,2001/10/16,19.06,02,00.64,05.33,05.29,24°60 46°45 2001/10/16 19:06 o2 00°64 05°33 05°29
10,27.52,41.70,2001/11/15,07.69,19,03.97,04.08,00.93,27°52 41°70 2001/11/15 07°69 19 03°97 04°08 00°93
10,27.52,41.70,2002/02/12,07.36,08,01.80,05.22,04.90,27°52 41°70 2002/02/12 07°36 08 01°80 05°22 04°90
10,26.35,43.95,2002/10/06,03.47,16,03.65,03.83,01.13,26°35 43°95 2002/10/06 03°47 16 03°65 03°83 OI'13
10,26.35,43.95,2003/02/01,12.20,(ele),00.22,05.00,05.00,26°35 43°95 2003/02/o1 12°20 (ele) 00°22 05°00 05°00
10,21.42,39.83,2003/02/01,12.59,04,00.86,04.98,04.91,21°42 39°83 2003/02/o1 12°59 O4 00°86 04°98 04°91
10,28.40,36.73,2003/02/01,12.62,OI,00.24,05.09,05.09,28-40 36°73 2003/02/01 12°62 OI 00:24 05°09 05:09
10,24.60,46.45,2003/02/01,12.07,OI,00.32,04.96,04.95,24°60 46°45 2003/02/o1 12°07 OI 00°32 04°96 04°95
10,28.40,36.73,2003/08/27,22.57,12,02.51,04.53,03.77,28°40 36°73 2003/08/27 22°57 I2 02°51 04°53 03°77
10,27.52,41.70,2003/09/26,11.95,27,06.08,06.83,03.12,27°52 41°70 2003/09/26 II°95 27 06:08 06°83 03°12
10,21.42,39.83,2003/09/26,12.08,28,06.43,06.86,02.42,21°42 39°83 2003/09/26 12°08 28 06°43 06°86 02°42
10,26.35,43.95,2003/09/26,11.80,27,06.10,06.75,02.91,26°35 43°95 2003/09/26 11°80 27 06°10 06°75 02°91
10,28.40,36.73,2003/09/26,12.28,28,06.14,07.01,03.38,28:40 36°73 2003/09/26 12°28 28 06°14 07:01 03°38
