No,Lat_deg,Long_deg,Date_UT,ARCV_deg,ARCL_deg,DAZ_deg,W_arcmin,q
026,27.52,41.70,2000/12/26,07.70,08.86,04.40,00.18,-0.31
038,27.52,41.70,2002/11/05,07.41,09.90,06.58,00.25,-0.29
064,27.52,41.70,2005/02/09,07.98,09.80,05.70,00.24,-0.24
075,24.54,39.63,2006/02/28,07.91,08.12,01.81,00.17,-0.29
115,24.39,39.63,2010/12/06,07.87,10.20,06.50,00.25,-0.24
116,24.60,46.45,2010/12/06,07.63,09.97,06.42,00.24,-0.27
117,25.62,45.62,2010/12/06,07.52,09.99,06.60,00.24,-0.28
217,24.39,39.63,2013/12/03,07.92,08.10,01.62,00.17,-0.29
246,24.72,46.67,2014/05/29,07.54,10.25,06.97,00.24,-0.28
247,27.52,41.70,2014/05/29,07.33,10.47,07.49,00.25,-0.30
248,25.62,45.62,2014/05/29,07.46,10.31,07.13,00.24,-0.29
249,26.37,49.82,2014/05/29,07.24,10.20,07.20,00.24,-0.31
