Page,Lat_deg,Long_deg,Date_UT,Age_hrs,Lag_min,ARCV_deg,ARCL_deg,DAZ_deg,Means,raw_ocr_line,target_detectability,target_naked_eye,pred_twostep_stage2,peye_twostep,stage2_match,stage2_mismatch
5,23.55,46.39,1988/03/19,37.05,93.0,20.34,20.49,02.55,N,23°55 46°39 1988/03/19 37°05 93 20°34 20°49 02°55 N,1,1,1,0.9997206581639257,1,0
5,19.52,42.22,1988/04/17,27.49,65.0,14.15,14.83,04.49,T,19°52 42°22 1988/04/17 27°49 65 14°15 14°83 0449 T,1,0,1,0.9650000507007425,0,1
5,23.56,46.93,1988/04/17,27.28,68.0,14.34,14.7,03.27,T,23°56 46°93 1988/04/17 27°28 68 14°34 14°70 03:27 T,1,0,1,0.9677724697070682,0,1
5,28.4,36.73,1989/03/08,21.31,56.0,11.9,11.97,OI-II,T,28°40 36°73 1989/03/08 21°31 56 II‘90 I1‘97 OI-‘II T,1,0,1,0.7971478774687386,0,1
5,28.4,36.73,1990/02/26,30.61,77.0,16.36,16.41,01.33,N,28:40 36°73 1990/02/26 30°61 77 16°36 16°41 01°33 N,1,1,1,0.9930268047374626,1,0
5,26.45,36.38,1990/03/27,20.01,51.0,10.99,11.67,03.95,T,26°45 36°38 1990/03/27 20°01 51 10°99 I1‘67 03°95 T,1,0,1,0.6839401836569238,0,1
5,28.4,36.73,1990/04/26,35.62,107.0,20.88,20.91,01.12,N,28°40 36°73 1990/04/26 35°62 107 20°88 20°91 OI-12 N,1,1,1,0.999819115987538,1,0
5,26.45,36.38,1990/06/23,21.6,55.0,10.94,11.84,04.54,T,26°45 36°38 1990/06/23 21°60 55 10°94 11°84 04°54 T,1,0,1,0.6881430319257102,0,1
5,28.4,36.73,1991/04/15,20.35,54.0,11102.0,11.53,03.41,T,28°40 36°73 1991/04/15 20°35 54 I1I‘02 11°53 03°41 T,1,0,1,1.0,0,1
5,28.4,36.73,1992/03/05,26.02,56.0,11.9,12.49,03.82,N,28:40 36°73 1992/03/05 26:02 56 II‘90 12°49 03°82 N,1,1,1,0.8155694231751313,1,0
5,28.4,36.73,1992/06/02,36.01,89.0,17.62,19.57,08.65,N,28°40 36°73 1992/06/02 36°01 89 17°62 19°57 08°65 N,1,1,1,0.998373488491857,1,0
5,26.45,36.38,1992/07/01,20.94,55.0,11.42,15.9,01.14,N,26°45 36°38 1992/07/01 20°94 55 11°42 15°90 OI°I4 N,1,1,1,0.8792968313006757,1,0
5,21.42,39.83,1993/12/14,29.23,72.0,14.71,15.31,04.28,N,21°42 39°83 1993/12/14 29°23 72 14°71 15°31 04°28 N,1,1,1,0.9772490108680832,1,0
5,28.4,36.73,1993/01/23,20.64,46.0,9.45,9.53,0r-23.,COT,28°40 36°73 1993/01/23 20°64 46 09°45 09°53 or-23. COT,1,0,0,0.3542900358521188,1,0
5,28.4,36.73,1993/02/22,26.39,55.0,11.62,12.12,03.46,T,28°40 36°73 1993/02/22 26°39 55 11°62 I2°I2 03°46 T,1,0,1,0.7757814438615687,0,1
5,21.42,39.83,1993/12/14,29.23,72.0,14.71,15.31,04.28,N,21°42 39°83 1993/12/14 29°23 72 14°71 15°31 04°28 N,1,1,1,0.9772490108680832,1,0
5,24.6,46.45,1998/10/21,28.22,53.0,11.46,12.86,05.87,N,24°60 46°45 1998/10/21 28°22 53 11°46 12°86 05°87 N,1,1,1,0.7881327872234255,1,0
5,27.52,41.7,1998/12/20,40.2,89.0,16.95,18.35,07.13,N,27°52 41°70 1998/12/20 40°20 89 16°95 18°35 07°13 N,1,1,1,0.9968655848364708,1,0
5,26.35,43.95,1999/01/18,22.83,52.0,10.44,10.65,02.13,T,26°35 43°95 1999/01/18 22°83 52 10°44 10°65 02°13 T,1,0,0,0.5573255139246225,1,0
