page_url,hijri_year,hijri_month_name,section_type,gregorian_date,country,city,province,obs_time_text,obs_relative_to_sunset,seen_any,seen_naked_eye,seen_binocular,seen_telescope,seen_camera,attempted_naked_eye,attempted_binocular,attempted_telescope,attempted_camera,sky_cloud_text,weather_text,raw_text,comment_text,vis_class_empirical,has_country,has_city_or_province,has_date,has_obs_time_text,looks_like_real_observation
https://astronomycenter.net/icop/ram47.html,,,first_crescent,الأربعاء 18 فبراير 2026,الهند,New Delhi,Delhi,بعد غروب الشمس,after_sunset,,,,,,False,False,False,False,غائمة جزئيا,مغبرة جدا أو ضباب كثيف,1 . وقت الرصد: بعد غروب الشمس . تمت الرؤية من قبل آخرين : ذكر عضو المشروع السيد من مدينة New Delhi في محافظة Delhi ان السماء (نسبة الغيم) كانت غائمة جزئيا والحالة الجوية كانت مغبرة جدا أو ضباب كثيف ولم يتم تحري الهلال بالعين المجردة ولم يتم تحري الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا,,,True,True,True,True,True
https://astronomycenter.net/icop/shw47.html,,,last_crescent,الأربعاء 18 مارس 2026,ألمانيا,Munich,Bavaria,بعد شروق الشمس,unknown,True,,,,,False,False,False,False,غائمة جزئيا,مغبرة جدا أو ضباب كثيف,"1 . وقت الرصد: بعد شروق الشمس . تمت رؤية الهلال : ذكر عضو المشروع المهندس مارتن إليسياسر من مدينة Munich في محافظة Bavaria ان السماء (نسبة الغيم) كانت غائمة جزئيا والحالة الجوية كانت مغبرة جدا أو ضباب كثيف ولم يتم تحري الهلال بالعين المجردة ولم يتم تحري الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا وقال عضو المشروع المهندس مارتن إليسياسر ""We had a lot of humidity in the air and the additional clouds only started to thin in the afternoon. I could barely image the crescent with the video system in the afternoon at around 6.3degrees elongation, but it was only a short piece of the arc. I hope for better skies tomorrow.""","We had a lot of humidity in the air and the additional clouds only started to thin in the afternoon. I could barely image the crescent with the video system in the afternoon at around 6.3degrees elongation, but it was only a short piece of the arc. I hope for better skies tomorrow.",,True,True,True,True,True
https://astronomycenter.net/icop/muh46.html,,,first_crescent,السبت 06 يوليو 2024,المغرب,الرباط,الرباط,بعد غروب الشمس,after_sunset,True,False,,,,True,False,False,False,غائمة كليا,مغبرة جدا أو ضباب كثيف,"2 . وقت الرصد: بعد غروب الشمس . لم تتم رؤية الهلال : ذكر عضو المشروع المهندس زكرياء كلزيم من مدينة الرباط في محافظة الرباط ان السماء (نسبة الغيم) كانت غائمة كليا والحالة الجوية كانت مغبرة جدا أو ضباب كثيف ولم تتم رؤية الهلال بالعين المجردة ولم يتم تحري الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا وقال عضو المشروع المهندس زكرياء كلزيم ""تمت رؤية الهلال و تصويره من طرف راقدين من مدينتي بنكرير و مكناس. كما اكدت وزارة الأوقاف والشؤون الإسلامية رؤية الهلال رؤية شرعية. ارفق هنا الصورة التي اخدها الراصد عبد المنعم الغالي من مدينة بنكرير""",تمت رؤية الهلال و تصويره من طرف راقدين من مدينتي بنكرير و مكناس. كما اكدت وزارة الأوقاف والشؤون الإسلامية رؤية الهلال رؤية شرعية. ارفق هنا الصورة التي اخدها الراصد عبد المنعم الغالي من مدينة بنكرير,,True,True,True,True,True
https://astronomycenter.net/icop/muh46.html,,,first_crescent,السبت 06 يوليو 2024,المملكة العربية السعودية,جدة,جدة,قبل غروب الشمس,before_sunset,,,,,,False,False,False,False,صافية,صافية جدا,"1 . وقت الرصد: قبل غروب الشمس . تمت الرؤية من قبل آخرين : ذكر عضو المشروع المهندس عواد محمود من مدينة جدة في محافظة جدة ان السماء (نسبة الغيم) كانت صافية والحالة الجوية كانت صافية جدا ولم يتم تحري الهلال بالعين المجردة ولم يتم تحري الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا وقال عضو المشروع المهندس عواد محمود ""أعلنت المملكة العربية السعودية أن يوم الاحد غرة شهر محرم الحرام هذا العام 1446 هجري الموافق 07 يوليو تموز 2024 ميلاد بعد إكمال عدة 30 يوم و يرجى الملاحظة من راصد أننا لم نبدأ رصد بعد و سيبدأ تحري هلال بعد غروب الشمس""",أعلنت المملكة العربية السعودية أن يوم الاحد غرة شهر محرم الحرام هذا العام 1446 هجري الموافق 07 يوليو تموز 2024 ميلاد بعد إكمال عدة 30 يوم و يرجى الملاحظة من راصد أننا لم نبدأ رصد بعد و سيبدأ تحري هلال بعد غروب الشمس,,True,True,True,True,True
https://astronomycenter.net/icop/jut46.html,,,first_crescent,الثلاثاء 03 ديسمبر 2024,المملكة العربية السعودية,جدة,جدة,بعد غروب الشمس,after_sunset,,,,,,False,False,False,False,صافية,صافية جدا,2 . وقت الرصد: بعد غروب الشمس . تمت الرؤية من قبل آخرين : ذكر عضو المشروع السيد هشام شريف من مدينة جدة في محافظة جدة ان السماء (نسبة الغيم) كانت صافية والحالة الجوية كانت صافية جدا ولم يتم تحري الهلال بالعين المجردة ولم يتم تحري الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا,,,True,True,True,True,True
https://astronomycenter.net/icop/ram46.html,,,first_crescent,الجمعة 28 فبراير 2025,الجزائر,باتنة,باتنة,بعد غروب الشمس,after_sunset,True,False,False,,,True,True,False,False,غائمة جزئيا,صافية,"1 . وقت الرصد: بعد غروب الشمس . تمت الرؤية من قبل آخرين : ذكر عضو المشروع الدكتور يونس زكور من مدينة باتنة في محافظة باتنة ان السماء (نسبة الغيم) كانت غائمة جزئيا والحالة الجوية كانت صافية ولم تتم رؤية الهلال بالعين المجردة ولم تتم رؤية الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا وقال عضو المشروع الدكتور يونس زكور ""بعد الصلاة والسلام على الرسول الكريم تمت رؤية الهلال بمناطق بالجنوب الجزائري (واد سوف، اليزي، برج باجي مختار) وعلية غرة رمضان تكون متوافقة مع غرة شهر مارس """,بعد الصلاة والسلام على الرسول الكريم تمت رؤية الهلال بمناطق بالجنوب الجزائري (واد سوف، اليزي، برج باجي مختار) وعلية غرة رمضان تكون متوافقة مع غرة شهر مارس,,True,True,True,True,True
https://astronomycenter.net/icop/muh45.html,,,first_crescent,الثلاثاء 18 يوليو 2023,العراق,مدينة الصدر,بغداد,بعد غروب الشمس,after_sunset,True,False,,False,,True,False,True,False,صافية,صافية,"2 . وقت الرصد: بعد غروب الشمس . لم تتم رؤية الهلال : ذكر عضو المشروع السيد حسن الساعدي من مدينة مدينة الصدر في محافظة بغداد ان السماء (نسبة الغيم) كانت صافية والحالة الجوية كانت صافية ولم تتم رؤية الهلال بالعين المجردة ولم يتم تحري الهلال بالمنظار ولم تتم رؤية الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا وقال عضو المشروع السيد حسن الساعدي ""لم تتم رؤية الهلال بالعين المجردة او التلسكوب رغم المحاولات العدة لرصدة والتي امتدت من الساعة ال7 و12 دقيقة مساءا (عند غروب الشمس) والى ماقبل غروب الهلال ب 10 دقائق (حوالي الساعة 7:50م ) وكانت هناك حالة اشتباه غير اكيده من انه تمت رؤية الهلال عن طريق التلسكوب بشكل صعب جدا حوالي الساعة 7:40 مساءا لكنها ليست بأكيده بسبب ضعف مايفترض أنه الهلال والذي كان دقيقا جدا الى درجة عدم تأكدنا انه الهلال لذلك اعتبر اشتباها وفقنا الله واياكم """,لم تتم رؤية الهلال بالعين المجردة او التلسكوب رغم المحاولات العدة لرصدة والتي امتدت من الساعة ال7 و12 دقيقة مساءا (عند غروب الشمس) والى ماقبل غروب الهلال ب 10 دقائق (حوالي الساعة 7:50م ) وكانت هناك حالة اشتباه غير اكيده من انه تمت رؤية الهلال عن طريق التلسكوب بشكل صعب جدا حوالي الساعة 7:40 مساءا لكنها ليست بأكيده بسبب ضعف مايفترض أنه الهلال والذي كان دقيقا جدا الى درجة عدم تأكدنا انه الهلال لذلك اعتبر اشتباها وفقنا الله واياكم,,True,True,True,True,True
https://astronomycenter.net/icop/raj45.html,,,first_crescent,الجمعة 12 يناير 2024,الولايات المتحدة,Blacksburg,Virginia,بعد غروب الشمس,after_sunset,,,,,,False,False,False,False,غائمة كليا,مغبرة أو ضباب,"1 . وقت الرصد: بعد غروب الشمس . تمت الرؤية من قبل آخرين : ذكر عضو المشروع الدكتور جواد تورابنيجاد من مدينة Blacksburg في محافظة Virginia ان السماء (نسبة الغيم) كانت غائمة كليا والحالة الجوية كانت مغبرة أو ضباب ولم يتم تحري الهلال بالعين المجردة ولم يتم تحري الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا وقال عضو المشروع الدكتور جواد تورابنيجاد ""This evening (Friday, Jan 12, 2024), the crescent moon was not seen in Blacksburg, VA (Lat: 37° 15' 40"" N, Lng: 80° 26' 56"" W, and elevation: 646 meters). The sky was cloudy. A friend of mine sighted the moon in Houston, TX.""","This evening (Friday, Jan 12, 2024), the crescent moon was not seen in Blacksburg, VA (Lat: 37° 15' 40"" N, Lng: 80° 26' 56"" W, and elevation: 646 meters). The sky was cloudy. A friend of mine sighted the moon in Houston, TX.",,True,True,True,True,True
https://astronomycenter.net/icop/raj44.html,,,first_crescent,الأحد 22 يناير 2023,الولايات المتحدة,Blacksburg,Virginia,بعد غروب الشمس,after_sunset,,,,,,False,False,False,False,غائمة كليا,مغبرة جدا أو ضباب كثيف,"1 . وقت الرصد: بعد غروب الشمس . تمت الرؤية من قبل آخرين : ذكر عضو المشروع الدكتور جواد تورابنيجاد من مدينة Blacksburg في محافظة Virginia ان السماء (نسبة الغيم) كانت غائمة كليا والحالة الجوية كانت مغبرة جدا أو ضباب كثيف ولم يتم تحري الهلال بالعين المجردة ولم يتم تحري الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا وقال عضو المشروع الدكتور جواد تورابنيجاد ""This evening (Sunday, January 22, 2023), the crescent moon was not seen in Blacksburg, VA. The sky was completely covered by clouds. However, the crescent was sighted in Orlando, Florida and Houston, Texas (seen at 6:18 CST). The two crescent pictures are from the latter location sent by brother Mohammad H.""","This evening (Sunday, January 22, 2023), the crescent moon was not seen in Blacksburg, VA. The sky was completely covered by clouds. However, the crescent was sighted in Orlando, Florida and Houston, Texas (seen at 6:18 CST). The two crescent pictures are from the latter location sent by brother Mohammad H.",,True,True,True,True,True
https://astronomycenter.net/icop/shw43.html,,,first_crescent,الأحد 01 مايو 2022,كاميرون,Kousseri,Ext Nord,بعد غروب الشمس,after_sunset,,,,,,False,False,False,False,صافية,صافية,"1 . وقت الرصد: بعد غروب الشمس . تمت الرؤية من قبل آخرين : ذكر عضو المشروع السيد عبدالكريم فتحي من مدينة Kousseri في محافظة Ext Nord ان السماء (نسبة الغيم) كانت صافية والحالة الجوية كانت صافية ولم يتم تحري الهلال بالعين المجردة ولم يتم تحري الهلال بالمنظار ولم يتم تحري الهلال بالمرقب ولم يتم تحري الهلال باستخدام الكاميرا وقال عضو المشروع السيد عبدالكريم فتحي ""The crescent was Seen by others. And the official announcement for Eid Al Fitr. """,The crescent was Seen by others. And the official announcement for Eid Al Fitr.,,True,True,True,True,True
